barrcodi,barrnombre,barrtension,lat,lon,metodo
406,PIAS 6.3,,-11.93,-75.07,nominal
407,PIAS II 138,138,-12.07,-75.035,nominal
408,PINDUSTRI 33,33,-12.035,-75.035,nominal
409,PISCO 13.8,,-13.755,-76.27,localidad:PISCO
410,PIURA 4.8,,-5.12,-80.69999999999999,localidad:PIURA
411,PIURAEME 13.8,,-5.260000000000001,-80.66499999999999,localidad:PIURA
412,PIZARRAS 6.6,,-6.895,-79.64999999999999,localidad:ZA
413,PLANTAETANOL 60,60,-4.95,-80.78999999999999,localidad:PLANTAETANOL
414,PLATANAL 13.8 G1,13.8,-12.92,-75.97,localidad:PLATANAL
415,PLATANAL 13.8 G2,13.8,-12.885,-75.97,localidad:PLATANAL
416,PLATANAL 13.8,13.8,-12.85,-75.97,localidad:PLATANAL
417,PLATANAL 220,220,-12.815,-75.97,localidad:PLATANAL
418,PUERTO MALDONADO 138,138,-12.67,-69.25999999999999,localidad:PUERTO MALDONADO
419,POMACOCHA 50,,-11.535,-76.07,localidad:POMACOCHA
420,POROMA 220,220,-14.635,-75.07,localidad:POROMA
421,PORVENIR 138,,-12.0,-75.035,nominal
422,PUENTE PIEDRA 60,60,-11.965,-75.035,nominal
423,PARQUE INDUSTRIAL 60,60,-11.93,-75.035,nominal
424,LAS PRADERAS 60,60,-12.07,-75.0,nominal
425,PUENTE 60,,-12.035,-75.0,nominal
426,RESTITUCIÓN 220,220,-12.32,-74.66999999999999,localidad:RESTITUCIÓN
427,RF_ILO,,-17.675,-71.34,localidad:ILO
428,RON 13.8,,-12.0,-75.0,nominal
429,RUNATULLO3 10,,-11.965,-75.0,nominal
430,RUNATULLO3 60,,-11.93,-75.0,nominal
431,SAN ANTONIO 3,,-12.9,-76.07,localidad:SAN ANTONIO
432,SAN ANTONIO 15,15,-12.865,-76.07,localidad:SAN ANTONIO
433,SAN NICOLAS 13.8,13.8,-15.32,-75.3,localidad:SAN NICOLAS
434,SAN NICOLAS 60,,-15.285,-75.3,localidad:SAN NICOLAS
435,SAN IGNACIO 15,15,-5.220000000000001,-79.05999999999999,localidad:SAN IGNACIO
436,SAN IGNACIO 3.,,-5.1850000000000005,-79.05999999999999,localidad:SAN IGNACIO
437,SAN JUAN 60,60,-12.115,-77.03999999999999,localidad:SAN JUAN
438,SANTA ISABEL 220,220,-12.17,-77.02,localidad:SANTA ISABEL
439,SAN ANTONIO 10,,-12.83,-76.07,localidad:SAN ANTONIO
440,SAN VICENTE 10,,-12.07,-74.965,nominal
441,SAN VICENTE 60,,-12.035,-74.965,nominal
442,SARITA 66,,-17.635,-70.07,localidad:SARITA
443,SAN BARTOLO 60,,-12.0,-74.965,nominal
444,SAN CRISTOBAL 50,50,-11.72,-76.13999999999999,localidad:SAN CRISTOBAL
445,SANTA CRUZ 2.3,,-11.965,-74.965,nominal
446,SIHUAS 138,,-11.93,-74.965,nominal
447,SAN JUAN 50,,-12.08,-77.03999999999999,localidad:SAN JUAN
448,SAN MATEO 2.4,,-11.795,-76.36999999999999,localidad:SAN MATEO
449,SOCABAYA 500,,-16.415,-71.6,localidad:SOCABAYA
450,SROSATG7,16.5,-12.03,-77.13,localidad:SROSA
451,SROSATG8,16.5,-11.995,-77.13,localidad:SROSA
452,SROSAUTI,13.8,-11.959999999999999,-77.13,localidad:SROSA
453,SULLANA 10,,-12.07,-74.93,nominal
454,SULLANA 60,,-12.035,-74.93,nominal
455,TABLAZO 13.8,13.8,-12.0,-74.93,nominal
456,TABLAZO 60,,-11.965,-74.93,nominal
457,TACNA 66,66,-11.93,-74.93,nominal
458,TARMA 44,,-12.07,-75.07,nominal
459,TAYABAMBA 138,,-12.035,-75.07,nominal
460,TG5 16.5,16.5,-12.0,-75.07,nominal
461,TintayaN 138,,-14.92,-71.39999999999999,localidad:TINTAYA
462,TR-NUEVAIMP,,-11.965,-75.07,nominal
463,TRUJILLO 500,,-8.075,-79.1,localidad:TRUJILLO
464,TRUJILLO SUR 138,,-8.04,-79.1,localidad:TRUJILLO
465,TOMAS VALLE 60,60,-11.93,-75.07,nominal
466,VISTA ALEGRE 50,50,-12.07,-75.035,nominal
467,VENTANILLA 16,16,-11.905,-77.19999999999999,localidad:VENTANILLA
468,VENTANILLA 60,60,-11.87,-77.19999999999999,localidad:VENTANILLA
469,VILLA SALVADOR 60,,-12.035,-75.035,nominal
470,YANACANCH 220,,-12.0,-75.035,nominal
471,YANANGO 10,10,-11.200000000000001,-75.44,localidad:YANANGO
472,YANANGO 220,220,-11.165000000000001,-75.44,localidad:YANANGO
473,YARINA 60,,-8.435,-74.66999999999999,localidad:YARINA
476,YAUPI 138,138,-10.935,-75.47,localidad:YAUPI
477,YUNCAN 13.8,,-11.965,-75.035,nominal
478,YUNCAN 138,138,-11.93,-75.035,nominal
479,ZAPALLAL 60,,-11.865,-77.16,localidad:ZAPALLAL
482,CAMPO ARMIÑO 220,220,-12.25,-74.69999999999999,localidad:CAMPO ARMIÑO
483,CHILCA REP 220,220,-12.59,-76.77499999999999,localidad:CHILCA
484,ILO ELP 138,138,-17.64,-71.34,localidad:ILO
485,SAN GABAN 138,138,-13.465,-70.47,localidad:SAN GABAN
486,TUMBES 10,10,-3.605,-80.52,localidad:TUMBES
487,AUCAYACU 138,138,-8.965,-76.17999999999999,localidad:AUCAYACU
488,CALLAHUANCA EDEGEL 220,220,-11.84,-76.69,localidad:CALLAHUANCA
489,CANCHAYLLO 69,69,-12.07,-75.0,nominal
490,HUASAHUASI II 6,6,-12.035,-75.0,nominal
491,ZORRITOS 33,33,-3.68,-80.74,localidad:ZORRITOS
492,SELENE 66,66,-12.0,-75.0,nominal
493,COTARUSE 66,66,-14.435,-73.27,localidad:COTARUSE
494,ARES 66,66,-15.135,-72.16999999999999,localidad:ARES
495,ARES 4.16,4.16,-15.1,-72.16999999999999,localidad:ARES
496,ARES 0.46,0.46,-15.065,-72.16999999999999,localidad:ARES
497,ARCATA 10,10,-15.05,-72.36999999999999,localidad:ARCATA
498,ARCATA 33A,33,-15.015,-72.36999999999999,localidad:ARCATA
499,ARCATA 33B,33,-14.98,-72.36999999999999,localidad:ARCATA
500,SANTA TERESA 220,220,-13.200000000000001,-72.66999999999999,localidad:SANTA TERESA
501,CHEVES 220,220,-11.07,-76.97,localidad:CHEVES
502,CT ETEN 220,220,-6.970000000000001,-79.94,localidad:ETEN
503,CHARCANI I 33,33,-16.3,-71.535,localidad:CHARCANI
504,PARAMONGA NUEVA 138,138,-10.6,-77.89999999999999,localidad:PARAMONGA
505,ILLIMO 22.9,22.9,-11.965,-75.0,nominal
506,HUANCAVE 10,10,-12.754999999999999,-75.05,localidad:HUANCAVE
507,RECKA 220,220,-6.9350000000000005,-79.94,localidad:RECKA
508,QUITARACSA 13.8,13.8,-8.870000000000001,-77.94,localidad:QUITARACSA
509,QUITARACSA 220,220,-8.835,-77.94,localidad:QUITARACSA
510,RECKA 18,18,-6.9,-79.94,localidad:RECKA
511,ETEN 18,18,-6.865,-79.94,localidad:ETEN
512,3 HERMANAS 220,220,-11.93,-75.0,nominal
513,SAN JOSE 220,220,-17.07,-71.66999999999999,localidad:SAN JOSE
514,PUERTO BRAVO 500,500,-17.72,-71.41999999999999,localidad:PUERTO BRAVO
515,PIEDRA BLANCA 34.5,34.5,-12.370000000000001,-76.97,localidad:PIEDRA BLANCA
516,CERRO DEL AGUILA 220,220,-12.47,-74.66999999999999,localidad:CERRO DEL AGUILA
517,CHAGLLA 220,220,-9.790000000000001,-75.97,localidad:CHAGLLA
518,ASIA 220,220,-12.85,-76.66999999999999,localidad:ASIA
519,S.E. ILO4 500,500,-17.605,-71.34,localidad:ILO
520,ALTO PRADERAS 220,220,-16.77,-71.97,localidad:ALTO PRADERAS
521,SAN JOSE 500,500,-17.035,-71.66999999999999,localidad:SAN JOSE
522,PUERTO BRAVO 18,18,-17.685,-71.41999999999999,localidad:PUERTO BRAVO
524,CHILCA DOS 13.8,13,-12.555,-76.77499999999999,localidad:CHILCA
525,CONSTANCIA 22.9,22.9,-12.07,-74.965,nominal
526,PUCALLPA 22,22,-8.38,-74.61999999999999,localidad:PUCALLPA
527,PUCALLPA 0.5,0.5,-8.345,-74.61999999999999,localidad:PUCALLPA
528,PUERTO MALDONADO 10,10,-12.635,-69.25999999999999,localidad:PUERTO MALDONADO
529,PUERTO MALDONADO 0.5,0.5,-12.6,-69.25999999999999,localidad:PUERTO MALDONADO
530,BELAUNDE 138,138,-8.120000000000001,-79.07,localidad:BELAUNDE
531,PLANTA VICTORIA 50,50,-12.035,-74.965,nominal
532,CT PLANTA PUCALLPA 60,60,-8.4,-74.66999999999999,localidad:CT PLANTA PUCALLPA
533,JUANJUI 138,138,-12.0,-74.965,nominal
534,BELLAVISTA 138,138,-11.549999999999999,-76.19,localidad:BELLAVISTA
535,TARAPOTO 138,138,-11.965,-74.965,nominal
536,ILO4 18,18,-17.57,-71.34,localidad:ILO
537,LIXIVIACION 138,138,-11.93,-74.965,nominal
538,Malacas 13.2,13.2,-12.07,-74.93,nominal
539,MANCORA 10.5,10.5,-12.035,-74.93,nominal
540,MANCORA 22.9,22.9,-12.0,-74.93,nominal
541,PUSH BACK 138,138,-11.965,-74.93,nominal
542,QUEBRADA HONDA 138,138,-11.93,-74.93,nominal
543,SAN JUANINTO 22.9,22.9,-12.22,-77.005,localidad:SAN JUAN
544,San Mateo 4.16,4.16,-11.76,-76.36999999999999,localidad:SAN MATEO
545,San Rafael 138,138,-12.07,-75.07,nominal
546,BUJAMA 10,10,-12.035,-75.07,nominal
547,LOMERA 60,60,-11.535,-77.27,localidad:LOMERA
549,SANTUARIO 13.8,13.8,-16.435,-71.57,localidad:SANTUARIO
550,COMBAPATA 60,60,-14.135,-71.5,localidad:COMBAPATA
551,COMBAPATA 24,24,-14.1,-71.5,localidad:COMBAPATA
552,TINTAYA 10,10,-14.885,-71.39999999999999,localidad:TINTAYA
553,CACHIMAYO 10,10,-13.485,-72.11999999999999,localidad:CACHIMAYO
554,CACHIMAYO 23,23,-13.45,-72.11999999999999,localidad:CACHIMAYO
555,CACHIMAYO 60,60,-13.415,-72.11999999999999,localidad:CACHIMAYO
556,MACHUPICCHU 10,10,-13.195,-72.61999999999999,localidad:MACHUPICCHU
557,MACHUPICCHU 60,60,-13.16,-72.61999999999999,localidad:MACHUPICCHU
558,AGROLMOS 22.9,22.9,-6.050000000000001,-79.82,localidad:AGROLMOS
559,HUACHIPA 22.9,22.9,-12.035,-77.0,localidad:HUACHIPA
560,ANANEA 22.9,22.9,-12.0,-75.07,nominal
561,AZANGARO 13.8,13.8,-14.84,-70.27,localidad:AZANGARO
562,CACHIMAYO 33,33,-13.379999999999999,-72.11999999999999,localidad:CACHIMAYO
563,HUALLANCA 13.8,13.8,-8.82,-77.92999999999999,localidad:HUALLANCA
564,PIURA OESTE 10,10,-5.2250000000000005,-80.66499999999999,localidad:PIURA OESTE
565,RIO SECO 60,60,-11.965,-75.07,nominal
566,KIMAN AYLLU 10,10,-9.2,-77.82,localidad:KIMAN AYLLU
567,HUAYTIRE 138,138,-11.93,-75.07,nominal
568,VILLACURI 60,60,-13.97,-75.97,localidad:VILLACURI
569,CAUDALOSA 22,22,-12.07,-75.035,nominal
570,HUACHIPA 10,10,-12.0,-77.0,localidad:HUACHIPA
571,BALNEARIOS 22.9,22.9,-12.2,-77.07,localidad:BALNEARIOS
572,RIO SECO 20,20,-12.035,-75.035,nominal
573,SALAMANCA 10,10,-12.115,-77.05,localidad:SALAMANCA
574,LAS PRADERAS 22.9,22.9,-12.0,-75.035,nominal
575,SANTA CLARA 22.9,22.9,-11.965,-75.035,nominal
576,PUENTE 10,10,-11.93,-75.035,nominal
577,FELAM 220,220,-12.07,-75.0,nominal
578,VILLA EL SALVADOR 10,10,-12.035,-75.0,nominal
579,INGENIEROS 10,10,-12.0,-75.0,nominal
580,INGENIEROS 22.9,22.9,-11.965,-75.0,nominal
581,LIMATAMBO 10,10,-11.93,-75.0,nominal
582,LIMATAMBO 22.9,22.9,-12.07,-74.965,nominal
583,CHORRILLOS 10,10,-12.035,-74.965,nominal
584,CHORRILLOS 22.9,22.9,-12.0,-74.965,nominal
585,ALTO LA LUNA 10,10,-15.67,-70.07,localidad:ALTO LA LUNA
586,PORVENIR 10.7,10.7,-11.965,-74.965,nominal
587,ZARATE 10,10,-6.859999999999999,-79.64999999999999,localidad:ZA
588,CARLOS FRANCISCO 50,50,-11.93,-74.965,nominal
589,CASA GRANDE 2 13.8,13.8,-12.07,-74.93,nominal
590,CONSTANTE 22.9,22.9,-12.035,-74.93,nominal
591,CORACORA 22.9,22.9,-12.0,-74.93,nominal
592,REFINERIA SPCC 138,138,-11.965,-74.93,nominal
593,GALVEZ 10,10,-11.93,-74.93,nominal
594,MONTERRICO 10,10,-12.07,-75.07,nominal
595,MONTERRICO 22.9,22.9,-12.035,-75.07,nominal
596,PUERTO RICO 22.9,22.9,-12.0,-75.07,nominal
597,PISCO 10,10,-13.72,-76.27,localidad:PISCO
598,PARACAS 10,10,-13.9,-76.32,localidad:PARACAS
599,SAN ISIDRO 22.9,22.9,-11.965,-75.07,nominal
600,NEYRA 10,10,-11.93,-75.07,nominal
601,VILLA MARIA 10,10,-12.07,-75.035,nominal
602,PORONGOCHE 10,10,-12.035,-75.035,nominal
603,VEGUETA 10,10,-12.0,-75.035,nominal
604,HUARMEY 66,66,-11.965,-75.035,nominal
605,ÑAÑA 10,10,-12.025,-76.89999999999999,localidad:ÑAÑA
606,HUANCAYOCCASA 33,33,-11.93,-75.035,nominal
607,JAHUAY 10,10,-13.57,-75.97,localidad:JAHUAY
608,MINA SHOUGAN 60,60,-15.335,-75.16999999999999,localidad:MINA
609,MOROCOCHA 2.4,2.4,-11.635,-76.21,localidad:MOROCOCHA
610,CHILCA 22.9,22.9,-12.52,-76.77499999999999,localidad:CHILCA
611,MANTARO 33,33,-12.39,-74.66499999999999,localidad:MANTARO
612,TABLACHACA 33,33,-12.07,-75.0,nominal
613,MOTIL 33,33,-12.035,-75.0,nominal
614,SATIPO 22.9,22.9,-12.0,-75.0,nominal
615,SANTA MARINA 20,20,-11.965,-75.0,nominal
616,MATARANI 10,10,-11.93,-75.0,nominal
617,OQUENDO 10,10,-11.95,-77.19,localidad:OQUENDO
618,AGUA LIMA 33,33,-12.07,-74.965,nominal
619,TARAPOTO 22.9,22.9,-12.035,-74.965,nominal
620,ALPAMINA 50,50,-15.3,-75.16999999999999,localidad:MINA
621,SANTA CLARA 10,10,-12.0,-74.965,nominal
622,CENTRAL 10,10,-11.965,-74.965,nominal
623,CHILCA 10,10,-12.485,-76.77499999999999,localidad:CHILCA
624,MARANGA 10,10,-6.7700000000000005,-78.36999999999999,localidad:MARA
625,PARQUE INDUSTRIAL 10 (SEAL),10,-11.93,-74.965,nominal
626,HUALLANCA NUEVA 60,60,-8.785,-77.92999999999999,localidad:HUALLANCA
627,HUALLANCA NUEVA 220,220,-8.75,-77.92999999999999,localidad:HUALLANCA
628,RESTITUCION 33,33,-12.285,-74.66999999999999,localidad:RESTITUCI
630,ARES 22,22,-15.03,-72.16999999999999,localidad:ARES
631,MALABRIGO 10,10,-12.07,-74.93,nominal
632,MALABRIGO 34.5,34.5,-12.035,-74.93,nominal
633,SAN ISIDRO 10,10,-12.0,-74.93,nominal
634,REQUE220,220,-11.965,-74.93,nominal
635,AMARILIS 138,1,-11.93,-74.93,nominal
636,ILO3 138,138,-17.71,-71.305,localidad:ILO
637,SAN RAFAEL 60,60,-12.07,-75.07,nominal
638,JESUS 138,138,-12.035,-75.07,nominal
640,REQUE220 B,220,-12.0,-75.07,nominal
641,CONVERTIDOR 33,33,-11.965,-75.07,nominal
642,MARAÑON 60,60,-6.735,-78.36999999999999,localidad:MARAÑON
643,HUARICASHASH 60,60,-14.14,-75.765,localidad:ICA
644,HUALLANCA NUEVA 33,33,-8.89,-77.895,localidad:HUALLANCA
645,CENTRAL 22.9,22.9,-11.93,-75.07,nominal
646,BALNEARIOS 10,10,-12.165,-77.07,localidad:BALNEARIOS
647,BARRANCO 10,10,-12.07,-75.035,nominal
648,LAS PRADERAS 10,10,-12.035,-75.035,nominal
649,PIZARRAS 138,138,-7.0,-79.615,localidad:ZA
650,RONCADOR 20,20,-12.0,-75.035,nominal
651,PURMACANA 22.9,22.9,-10.97,-77.66999999999999,localidad:PURMACANA
652,CH CHANCAY 60,60,-11.965,-75.035,nominal
653,POTRERO 60,60,-11.93,-75.035,nominal
654,CUPISNIQUE 220,220,-12.07,-75.0,nominal
655,CAMPANA 220,220,-12.035,-75.0,nominal
656,LA_JOYA_ 138,138,-12.0,-75.0,nominal
657,PEDREGAL 138,138,-11.965,-75.0,nominal
658,SAN CAMILO 138,138,-17.675,-71.305,localidad:ILO
659,SAN VICENTE 20,20,-11.93,-75.0,nominal
660,SANTA CRUZI 66,66,-12.07,-74.965,nominal
661,SANTA CRUZII 66,66,-12.035,-74.965,nominal
662,POECHOS 60,60,-12.0,-74.965,nominal
663,YARUCAYA 66,66,-11.035,-76.97,localidad:YARUCAYA
664,ILO 3 220,220,-17.64,-71.305,localidad:ILO
665,CACLIC 220,220,-7.07,-78.47,localidad:CACLIC
666,BELAUNDE 220,220,-8.085,-79.07,localidad:BELAUNDE
667,MOYOBAMBA 22.9,22.9,-11.965,-74.965,nominal
668,SUPE 66,66,-11.93,-74.965,nominal
669,SUPE 10,10,-12.07,-74.93,nominal
670,NEPEÑA 13.8,13.8,-12.035,-74.93,nominal
671,RUBI 220,220,-17.37,-71.07,localidad:RUBI
672,LURIN 22.9,22.9,-12.0,-74.93,nominal
673,SANTA ROSA NUEVA LDS 60,60,-12.1,-77.095,localidad:SANTA ROSA
674,SANTA ROSA NUEVA EDP 60,60,-12.065,-77.095,localidad:SANTA ROSA
675,COLCABAMBA 220,220,-11.965,-74.93,nominal
676,YARABAMBA 220,220,-11.93,-74.93,nominal
678,YARABAMBA 500,500,-12.07,-75.07,nominal
679,COLCABAMBA 500,500,-12.035,-75.07,nominal
680,INDUSTRIALES 10,10,-12.02,-77.07,localidad:INDUSTRIALES
681,CHAVARRIA 10,10,-12.0,-77.16999999999999,localidad:CHAVARRIA
682,CONO NORTE 10 ,10,-12.0,-75.07,nominal
683,CHANCAY 60,60,-11.965,-75.07,nominal
684,CHANCAY 10,10,-11.93,-75.07,nominal
685,MOLLEPATA 220,220,-13.57,-72.57,localidad:MOLLEPATA
686,MOLLEPATA 60,60,-13.535,-72.57,localidad:MOLLEPATA
687,CHANCHAMAYO 60,60,-12.07,-75.035,nominal
688,SANTA ANA 60,60,-12.93,-72.75999999999999,localidad:SANTA ANA
689,SANTA ANA 13.8,13.8,-12.895,-72.75999999999999,localidad:SANTA ANA
690,SANTA ANA 22.9,22.9,-12.86,-72.75999999999999,localidad:SANTA ANA
691,PUNTAYACU 60,60,-12.035,-75.035,nominal
692,LA VIRGEN 138,138,-11.27,-75.47,localidad:LA VIRGEN
693,LA VIRGEN 60,60,-11.235,-75.47,localidad:LA VIRGEN
694,LA VIRGEN 10,10,-11.2,-75.47,localidad:LA VIRGEN
695,NINATAMBO 44,44,-12.0,-75.035,nominal
696,FLAMENCO 220,220,-14.97,-75.27,localidad:FLAMENCO
697,FLAMENCO 20,20,-14.935,-75.27,localidad:FLAMENCO
698,INTIPAMPA 138,138,-16.52,-71.61999999999999,localidad:INTIPAMPA
699,INTIPAMPA 22.9,22.9,-16.485,-71.61999999999999,localidad:INTIPAMPA
700,RIOJA 60,60,-11.965,-75.035,nominal
701,RIOJA 20,20,-11.93,-75.035,nominal
702,SAN ROMAN 138,138,-12.07,-75.0,nominal
703,SAN ROMAN 220,220,-12.035,-75.0,nominal
704,SAN ROMAN 10.5,10.5,-12.0,-75.0,nominal
705,PUMIRI 220,220,-11.965,-75.0,nominal
706,PUMIRI 138,138,-11.93,-75.0,nominal
707,PUMIRI 10.5,10.5,-12.07,-74.965,nominal
708,TAMBO DE MORA 10,10,-12.035,-74.965,nominal
709,CERRO DEL AGUILA 13.8,13.8,-12.435,-74.66999999999999,localidad:CERRO DEL AGUILA
710,CHIMBOTE2 13.8,13.8,-9.115,-78.615,localidad:CHIMBOTE
711,DOLORESPATA 4.16,4.16,-13.53,-72.03999999999999,localidad:DOLORESPATA
712,SAN BARTOLO 10,10,-12.0,-74.965,nominal
713,MANCHAY 22.9,22.9,-11.965,-74.965,nominal
714,PLAZA TOQUEPALA 138,138,-17.285,-70.72,localidad:TOQUEPALA
715,PLANTA SAN JACINTO 13.8,13.8,-9.21,-78.41999999999999,localidad:PLANTA SAN JACINTO
716,EL ANGEL 138,138,-11.93,-74.965,nominal
717,EL ANGEL 33,33,-12.07,-74.93,nominal
718,EL ANGEL 1-33,33,-12.035,-74.93,nominal
719,EL ANGEL 2-33,33,-12.0,-74.93,nominal
720,EL ANGEL 3-33,33,-11.965,-74.93,nominal
721,EL ANGEL 1-6.6,6.6,-11.93,-74.93,nominal
722,EL ANGEL 2-6.6,6.6,-12.07,-75.07,nominal
723,EL ANGEL 3-6.6,6.6,-12.035,-75.07,nominal
724,EL ANGEL 10,10,-12.0,-75.07,nominal
726,HER 1 0.4,0.4,-11.965,-75.07,nominal
727,PATAPO 22.9,22.9,-11.93,-75.07,nominal
730,POMALCA 60,60,-12.07,-75.035,nominal
731,TUMAN 22.9,22.9,-12.035,-75.035,nominal
732,CHICLAYO 0.38,0.38,-6.84,-79.875,localidad:CHICLAYO
733,TUMAN 60,60,-12.0,-75.035,nominal
734,TUMAN 10,10,-11.965,-75.035,nominal
735,PATAPO 0.4,0.4,-11.93,-75.035,nominal
736,HUACHO REP 66,66,-11.11,-77.67999999999999,localidad:HUACHO
737,PUENTE 22.9,22.9,-12.07,-75.0,nominal
738,LURIN 10,10,-12.035,-75.0,nominal
739,CARHUAC 66,66,-12.0,-75.0,nominal
740,CARHUAC 6.6,6.6,-11.965,-75.0,nominal
742,ZAÑA 60,60,-6.965,-79.615,localidad:ZAÑA
743,ZAÑA 6.9,6.9,-6.93,-79.615,localidad:ZAÑA
744,CAYALTI 60,60,-11.93,-75.0,nominal
745,SAN MIGUEL 22.9,22.9,-12.07,-74.965,nominal
746,CHEVES 13.8,13.8,-11.0,-76.97,localidad:CHEVES
747,CORACORA 60,60,-12.035,-74.965,nominal
748,LLIPATA 60,60,-12.0,-74.965,nominal
749,NAZCA 22.9,22.9,-14.9,-75.00999999999999,localidad:NAZCA
750,CACLIC 22.9,22.9,-7.035,-78.47,localidad:CACLIC
751,INGENIEROS 60,60,-11.965,-74.965,nominal
752,BIOENERGIA 13.8,13.8,-4.99,-80.86999999999999,localidad:BIOENERGIA
753,PEDREGAL 10,10,-11.93,-74.965,nominal
754,PUEBLO NUEVO 10,10,-12.07,-74.93,nominal
755,STA MARGARITA 10,10,-12.035,-74.93,nominal
756,VILLACURI 22.9,22.9,-13.935,-75.97,localidad:VILLACURI
757,TACAMA 10,10,-12.0,-74.93,nominal
758,PARACAS 22,22,-13.865,-76.32,localidad:PARACAS
759,ALTO LA LUNA 60,60,-15.635,-70.07,localidad:ALTO LA LUNA
760,CHIRA 22.9,22.9,-4.970000000000001,-80.97,localidad:CHIRA
761,SANTA ANITA 22.9,22.9,-11.965,-74.93,nominal
762,INDUSTRIAL 10,10,-11.93,-74.93,nominal
763,BARSI 10,10,-12.07,-75.07,nominal
764,EL CARMEN 23,23,-12.035,-75.07,nominal
765,8 DE AGOSTO 138,138,-12.0,-75.07,nominal
766,CHAGLLA 13.8,13.8,-9.755,-75.97,localidad:CHAGLLA
767,TACNA 10,10,-11.965,-75.07,nominal
768,CASA DE FUERZA 50,50,-6.895,-79.615,localidad:ZA
769,MEDIO MUNDO 220,220,-10.92,-77.72999999999999,localidad:MEDIO MUNDO
770,CANTO GRANDE 10,10,-11.93,-75.07,nominal
771,DUNA 138,138,-12.07,-75.035,nominal
772,BUJAMA 22.9,22.9,-12.035,-75.035,nominal
773,PURMACANA 20,20,-10.935,-77.66999999999999,localidad:PURMACANA
774,TACNA SOLAR 66,66,-12.0,-75.035,nominal
775,PANAMERICANA SOLAR 138,138,-14.105,-75.765,localidad:ICA
776,YANAPAMPA 66,66,-11.965,-75.035,nominal
777,MANTA 66,66,-11.93,-75.035,nominal
778,SANTA ROSA I 22.9,22.9,-12.03,-77.095,localidad:SANTA ROSA
779,SANTA ROSA II 22.9,22.9,-11.995,-77.095,localidad:SANTA ROSA
780,LOS SAUCES 10,10,-12.07,-75.0,nominal
781,CANTERA 22.9,22.9,-12.2,-76.97,localidad:CANTERA
782,YARUCAYA 13.8,13.8,-10.965,-76.97,localidad:YARUCAYA
783,TOMAS VALLE 10,10,-12.035,-75.0,nominal
784,PERSHING 10,10,-12.0,-75.0,nominal
785,PANDO 10,10,-11.965,-75.0,nominal
786,MALVINAS 10,10,-11.93,-75.0,nominal
787,JICAMARCA 10,10,-14.07,-75.765,localidad:ICA
788,TUPURI 22.9,22.9,-13.77,-73.07,localidad:TUPURI
789,PLANICIE 10,10,-12.115,-76.91999999999999,localidad:PLANICIE
790,VERTIENTES 10,10,-12.07,-74.965,nominal
791,VERTIENTES 22.9,22.9,-12.035,-74.965,nominal
792,NEYRA 22.9,22.9,-12.0,-74.965,nominal
793,SANTA ROSA 10,10,-11.959999999999999,-77.095,localidad:SANTA ROSA
794,PROGRESO 10,10,-11.965,-74.965,nominal
795,CONO NORTE 33,33,-11.93,-74.965,nominal
796,REAL PLAZA 33,33,-6.859999999999999,-79.615,localidad:ZA
797,PUNTA LOMITAS I,220,-14.67,-75.66999999999999,localidad:PUNTA LOMITAS
798,PUNTA LOMITAS II,220,-14.635,-75.66999999999999,localidad:PUNTA LOMITAS
799,GE1 33,33,-12.07,-74.93,nominal
800,AGROLMOS 60,60,-6.015000000000001,-79.82,localidad:AGROLMOS
801,PANGOA 22.9,22.9,-12.035,-74.93,nominal
802,MAJES 10,10,-12.0,-74.93,nominal
803,SAN BARTOLO 22.9,22.9,-11.965,-74.93,nominal
804,DUNA HUAMBOS 34.5,34.5,-6.7700000000000005,-79.27,localidad:DUNA HUAMBOS
805,PORTILLO 60,60,-11.93,-74.93,nominal
806,TABALOSOS 13.2,13.2,-12.07,-75.07,nominal
807,ERSUR 220,220,-16.4,-71.66999999999999,localidad:ERSUR
808,TIERRAS NUEVAS 22.9,22.9,-12.035,-75.07,nominal
809,SANTIAGO DE CAO 13.8,13.8,-8.03,-79.30999999999999,localidad:SANTIAGO DE CAO
810,JAEN 138,138,-5.78,-78.88,localidad:JAEN
811,CARHUAQUERO 10_S,10,-6.515,-79.36999999999999,localidad:CARHUAQUERO
812,SATIPO 60,60,-12.0,-75.07,nominal
813,BAGUA GRANDE 10,10,-11.965,-75.07,nominal
814,CHICLAYO OESTE 220,220,-6.805,-79.875,localidad:CHICLAYO
815,CHINCHA NUEVA 220,220,-13.49,-76.19999999999999,localidad:CHINCHA
816,NAZCA NUEVA 220,220,-14.865,-75.00999999999999,localidad:NAZCA
818,CHIRIBAMBA 220,220,-13.67,-72.36999999999999,localidad:CHIRIBAMBA
819,CHINCHA NUEVA 60,60,-13.455,-76.19999999999999,localidad:CHINCHA
820,NAZCA NUEVA 60,60,-14.83,-75.00999999999999,localidad:NAZCA
821,PAITA 10,10,-11.93,-75.07,nominal
822,LA BREA 220,220,-4.69,-81.27,localidad:LA BREA
823,GE2 33,33,-12.07,-75.035,nominal
824,HUALLIN 60,60,-11.67,-77.27,localidad:HUALLIN
825,CHAPARRAL 138,138,-11.97,-76.77,localidad:CHAPARRAL
826,CHANCAY 220,220,-12.035,-75.035,nominal
827,CHAPARRAL 22.9,22.9,-11.935,-76.77,localidad:CHAPARRAL
828,PAMPA PAÑALA 60,60,-12.0,-75.035,nominal
